lanelet_id, bound, x, y, yaw
110, leftBound, -284.68050, -101.93970, 0.802066 
110, leftBound, -284.32066, -101.59166, 0.801049 
110, leftBound, -283.96118, -101.24326, 0.800046 
110, leftBound, -283.60204, -100.89449, 0.799043 
110, leftBound, -283.24326, -100.54537, 0.798054 
110, leftBound, -282.88482, -100.19589, 0.797043 
110, leftBound, -282.52674, -99.846054, 0.796053 
110, leftBound, -282.16900, -99.495857, 0.795037 
110, leftBound, -281.81162, -99.145301, 0.794054 
110, leftBound, -281.45458, -98.794389, 0.793040 
110, leftBound, -281.09790, -98.443119, 0.792040 
110, leftBound, -280.74157, -98.091491, 0.791044 
110, leftBound, -280.38559, -97.739508, 0.790031 
110, leftBound, -280.02997, -97.387168, 0.789048 
110, leftBound, -279.67469, -97.034472, 0.788024 
110, leftBound, -279.31978, -96.681421, 0.787042 
110, leftBound, -278.96521, -96.328015, 0.786031 
110, leftBound, -278.61100, -95.974253, 0.785038 
110, leftBound, -278.25714, -95.620138, 0.784028 
110, leftBound, -277.90364, -95.265668, 0.783034 
110, leftBound, -277.55049, -94.910844, 0.782027 
110, leftBound, -277.19770, -94.555667, 0.781034 
110, leftBound, -276.84526, -94.200137, 0.780026 
110, leftBound, -276.49318, -93.844254, 0.779021 
110, leftBound, -276.14146, -93.488019, 0.778029 
110, leftBound, -275.79009, -93.131432, 0.777011 
110, leftBound, -275.43909, -92.774494, 0.776033 
110, leftBound, -275.08843, -92.417204, 0.775015 
110, leftBound, -274.73814, -92.059563, 0.774025 
110, leftBound, -274.38820, -91.701571, 0.773009 
110, leftBound, -274.03863, -91.343230, 0.772048 
110, leftBound, -273.68940, -90.984549, 0.771770 
110, leftBound, -273.34027, -90.625771, 0.771769 
110, leftBound, -272.99114, -90.266992, 0.771769 
110, leftBound, -272.64201, -89.908213, 0.771769 
110, leftBound, -272.29288, -89.549434, 0.771756 
110, leftBound, -271.94376, -89.190656, 0.772178 
110, leftBound, -271.59448, -88.832017, 0.773373 
110, leftBound, -271.24478, -88.473804, 0.774638 
110, leftBound, -270.89462, -88.116026, 0.775874 
110, leftBound, -270.54402, -87.758683, 0.777111 
110, leftBound, -270.19298, -87.401776, 0.778348 
110, leftBound, -269.84150, -87.045305, 0.779603 
110, leftBound, -269.48957, -86.689272, 0.780841 
110, leftBound, -269.13720, -86.333676, 0.782082 
110, leftBound, -268.78439, -85.978518, 0.783323 
110, leftBound, -268.43114, -85.623799, 0.784579 
110, leftBound, -268.07744, -85.269519, 0.785808 
110, leftBound, -267.72331, -84.915679, 0.787052 
110, leftBound, -267.36874, -84.562280, 0.788295 
110, leftBound, -267.01373, -84.209321, 0.789540 
110, leftBound, -266.65828, -83.856803, 0.790785 
