lanelet_id, bound, x, y
110, leftBound, -250.22855, -68.447782
110, leftBound, -249.85664, -68.112676
110, leftBound, -249.48473, -67.777571
110, leftBound, -249.11282, -67.442465
110, leftBound, -248.74091, -67.107359
110, leftBound, -248.36900, -66.772254
110, leftBound, -247.99709, -66.437148
110, leftBound, -247.62518, -66.102042
110, leftBound, -247.25327, -65.766937
110, leftBound, -246.88136, -65.431831
110, leftBound, -246.50945, -65.096726
110, leftBound, -246.13754, -64.761620
110, leftBound, -245.76563, -64.426514
110, leftBound, -245.39372, -64.091409
110, leftBound, -245.02181, -63.756303
110, leftBound, -244.64990, -63.421197
110, leftBound, -244.27799, -63.086092
110, leftBound, -243.90608, -62.750986
110, leftBound, -243.53417, -62.415880
110, leftBound, -243.16226, -62.080775
110, leftBound, -242.79035, -61.745669
110, leftBound, -242.41844, -61.410563
110, leftBound, -242.04653, -61.075458
110, leftBound, -241.67462, -60.740352
110, leftBound, -241.30271, -60.405247
110, leftBound, -240.93080, -60.070141
110, leftBound, -240.55889, -59.735035
110, leftBound, -240.18698, -59.399930
110, leftBound, -239.81507, -59.064824
110, leftBound, -239.44316, -58.729718
110, leftBound, -239.07125, -58.394613
110, leftBound, -238.69934, -58.059507
110, leftBound, -238.32743, -57.724401
110, leftBound, -237.95552, -57.389296
110, leftBound, -237.58361, -57.054190
110, leftBound, -237.21170, -56.719084
110, leftBound, -236.83979, -56.383979
110, leftBound, -236.46788, -56.048873
110, leftBound, -236.09597, -55.713767
110, leftBound, -235.72406, -55.378662
110, leftBound, -235.35215, -55.043556
110, leftBound, -234.98024, -54.708451
110, leftBound, -234.60833, -54.373345
110, leftBound, -234.23642, -54.038239
110, leftBound, -233.86451, -53.703134
110, leftBound, -233.49260, -53.368028
110, leftBound, -233.12069, -53.032922
110, leftBound, -232.74878, -52.697817
110, leftBound, -232.37687, -52.362711
110, leftBound, -232.00496, -52.027605
110, leftBound, -231.63305, -51.692500
110, leftBound, -231.26114, -51.357394
110, leftBound, -230.88923, -51.022288
110, leftBound, -230.51732, -50.687183
110, leftBound, -230.14541, -50.352077
110, leftBound, -229.77350, -50.016972
110, leftBound, -229.40159, -49.681866
110, leftBound, -229.02968, -49.346760
110, leftBound, -228.65777, -49.011655
110, leftBound, -228.28586, -48.676549
110, leftBound, -227.91395, -48.341443
110, leftBound, -227.54204, -48.006338
110, leftBound, -227.17013, -47.671232
110, leftBound, -226.79822, -47.336126
110, leftBound, -226.42631, -47.001021
110, leftBound, -226.05440, -46.665915
110, leftBound, -225.68249, -46.330809
110, leftBound, -225.31058, -45.995704
110, leftBound, -224.93867, -45.660598
110, leftBound, -224.56676, -45.325493
110, leftBound, -224.19485, -44.990387
110, leftBound, -223.82294, -44.655281
110, leftBound, -223.45103, -44.320176
110, leftBound, -223.07912, -43.985070
110, leftBound, -222.70721, -43.649964
110, leftBound, -222.33530, -43.314859
110, leftBound, -221.96339, -42.979753
110, leftBound, -221.59148, -42.644647
110, leftBound, -221.21957, -42.309542
110, leftBound, -220.84766, -41.974436
110, leftBound, -220.47575, -41.639330
110, leftBound, -220.10384, -41.304225
110, leftBound, -219.73193, -40.969119
110, leftBound, -219.36003, -40.634014
110, leftBound, -218.98812, -40.298908
110, leftBound, -218.61621, -39.963802
110, leftBound, -218.24430, -39.628697
110, leftBound, -217.87239, -39.293591
110, leftBound, -217.50041, -38.958556
110, leftBound, -217.12813, -38.623865
110, leftBound, -216.75551, -38.289547
110, leftBound, -216.38256, -37.955603
110, leftBound, -216.00927, -37.622032
110, leftBound, -215.63565, -37.288835
110, leftBound, -215.26170, -36.956012
110, leftBound, -214.88741, -36.623564
110, leftBound, -214.51279, -36.291491
110, leftBound, -214.13784, -35.959793
110, leftBound, -213.76255, -35.628470
110, leftBound, -213.38694, -35.297524
110, leftBound, -213.01099, -34.966953
110, leftBound, -212.63471, -34.636760
110, leftBound, -212.25810, -34.306943
110, leftBound, -211.88117, -33.977503
110, leftBound, -211.50390, -33.648441
110, leftBound, -211.12630, -33.319757
110, leftBound, -210.74837, -32.991451
110, leftBound, -210.37012, -32.663524
110, leftBound, -209.99154, -32.335976
110, leftBound, -209.61263, -32.008806
110, leftBound, -209.23339, -31.682017
110, leftBound, -208.85383, -31.355607
110, leftBound, -208.47393, -31.029577
110, leftBound, -208.09372, -30.703928
110, leftBound, -207.71317, -30.378660
110, leftBound, -207.33230, -30.053773
110, leftBound, -206.95111, -29.729267
110, leftBound, -206.56959, -29.405143
110, leftBound, -206.18775, -29.081402
110, leftBound, -205.80558, -28.758043
110, leftBound, -205.42309, -28.435066
110, leftBound, -205.04028, -28.112473
110, leftBound, -204.65714, -27.790263
110, leftBound, -204.27368, -27.468437
110, leftBound, -203.88990, -27.146995
110, leftBound, -203.50580, -26.825938
110, leftBound, -203.12137, -26.505265
110, leftBound, -202.73663, -26.184977
110, leftBound, -202.35156, -25.865075
110, leftBound, -201.96618, -25.545558
110, leftBound, -201.58047, -25.226427
110, leftBound, -201.19445, -24.907683
110, leftBound, -200.80811, -24.589325
110, leftBound, -200.42144, -24.271355
110, leftBound, -200.03446, -23.953771
110, leftBound, -199.64717, -23.636576
110, leftBound, -199.25955, -23.319768
110, leftBound, -198.87162, -23.003348
110, leftBound, -198.48337, -22.687317
110, leftBound, -198.09480, -22.371675
110, leftBound, -197.70592, -22.056422
110, leftBound, -197.31673, -21.741559
110, leftBound, -196.92722, -21.427085
110, leftBound, -196.53739, -21.113002
110, leftBound, -196.14725, -20.799309
110, leftBound, -195.75680, -20.486006
110, leftBound, -195.36604, -20.173084
110, leftBound, -194.97519, -19.860277
110, leftBound, -194.58434, -19.547469
110, leftBound, -194.19349, -19.234661
110, leftBound, -193.80263, -18.921854
110, leftBound, -193.41178, -18.609046
110, leftBound, -193.02093, -18.296238
110, leftBound, -192.63008, -17.983430
110, leftBound, -192.23923, -17.670623
110, leftBound, -191.84838, -17.357815
110, leftBound, -191.45753, -17.045007
110, leftBound, -191.06668, -16.732199
110, leftBound, -190.67583, -16.419392
110, leftBound, -190.28498, -16.106584
110, leftBound, -189.89413, -15.793776
